"obec","občanů","cizinců","obyvatel","přepočet","úhrada","zastupuje","hlasů","členství"
"Brno",376929,28028,404957,357220,535830,,636,"zakládající"
"Brno-Medlánky",5327,371,5698,2849,"4273,5","Kateřina Žůrková",75,"2016-07"
"Brno-střed",82660,7116,89776,44888,67332,,300,"zakládající"
"Černošice",6902,248,7150,7150,10725,,85,"zakládající"
"Choceň",,,,,,,,"2019-1"
"Kutná Hora",19722,1085,20807,20807,"31210,5","Lukáš Jelínek",144,"2016-06"
"Nové Město na Moravě",9954,134,10088,10088,15132,"Zbyněk Grepl",100,"zakládající"
"Tábor",,,,,,,,"2019"
"Praha 1",,,,,,,,"2019"
"Praha 3",,,,,,,,"2019-1"
"Praha 5",72984,14991,87975,87975,"131962,5",,297,"zakládající"
"Praha 7",37707,7473,45180,45180,67770,,213,"2016-06"
"Praha 22",,,,,,,,"2019-3"
"Praha-Ďáblice",3376,251,3627,3627,"5440,5","Radimír Rexa",60,"2016-07"
"Psáry",3706,237,3943,3943,"5914,5","Vít Olmr",63,"zakládající"
"Úvaly",6389,337,6726,6726,10089,"Petr Borecký",82,"2016-08"
